,Competition,Nitrogen,Total_length,Shoot_length,Root_length,Total_mass,Shoot_mass,Root_mass,Leaf_number,Leaf_width,germinated
group 1,no,low,66,49,17,12.02,7.22,4.73,6,2.5,1
Will,no,low,85.5,69,16.5,17.37,10.13,6.41,5,2,1
Carissa,no,high,93,70,23,12.41,8.07,4.57,6,2,1
,no,high,80,61,19,9.5,7.14,2.45,6,2.4,1
,yes,low,116,81,35,10.1,7.43,2.1,6,2.4,1
,yes,low,91.5,65,26.5,10.35,7.09,3.01,5.5,2.15,1
,yes,high,80.5,58,22.5,9.91,7.33,3.47,5,2,1
,yes,high,81.5,61,20.5,7.94,4.8,2.35,5.5,2.1,1
group 2,no,low,86,57,29,16.27,9.25,7.02,6,2,1
carly ,no,low,107,62,45,19.05,11.64,7.41,6,2.5,1
brianna,no,high,86,60,26,22.07,12.28,9.79,7,2,1
,no,high,88,64,24,14.82,7.98,6.84,6,2,1
,yes,low,96,66,30,17.28,11.78,5.5,5,2.5,1
,yes,low,88,68,20,5.91,4.57,1.34,6,2,1
,yes,high,87,64,23,12.32,7.65,4.67,6,2.2,1
,yes,high,85,65,20,12.07,8.42,3.65,5,2,1
group 3,no,low,102,77.47,24.765,14.55,9.93,4.62,6,2.032,1
Lizzy,no,low,118.237,78.105,40.132,19.72,12.77,6.95,6,2.286,1
Meadow,no,high,90.805,67.945,22.86,11.53,7.79,3.74,6,2.54,1
,no,high,82.169,66.675,15.494,12.03,10.17,1.86,6,2.286,1
,yes,low,108.65,78.42,30.23,18.49,12.74,5.75,6,2.41,1
,yes,low,81.59,62.8,18.79,10.15,8.39,1.75,6,2.032,1
,yes,high,89.15,66.8,22.35,11.5,8.53,2.97,6,2.286,1
,yes,high,100.97,73.34,27.62,14.85,10.93,3.92,6,2.48,1
group 4,no,low,102,78,24,15.58,10.42,5.16,6,2.4,1
Kylee,no,low,,,,,,,,,0
Teo,no,high,76,60,16,11.91,7.1,4.81,5,2.3,1
,no,high,65,47,18,5.32,3.28,2.04,5,1.3,1
,yes,low,74,53.5,20.5,10.06,5.91,4.15,5,1.95,1
,yes,low,89.5,67.5,22,11.06,6.65,4.41,5,1.8,1
,yes,high,87,68.5,18.5,13.59,7.52,6.07,5,2.05,1
,yes,high,80,63.5,16.5,11.76,6.48,5.28,5,2,1
group 5,no,low,77.3,52.6,25.3,13.77,7.28,6.49,6,2.1,1
Nico,no,low,89.3,56.7,32.6,10.18,4.8,5.38,6,2.2,1
Connor,no,high,91.4,77.4,14,16.12,13.05,10.15,6,2.4,1
,no,high,86,66.9,19.1,13.77,8.8,7.32,6,2,1
,yes,low,52.2,39.15,13.05,7.15,3.005,4.695,5.5,1.4,1
,yes,low,89.1,73.8,20.3,11.645,7.315,4.33,6,2.35,1
,yes,high,82.2,58.05,24.15,12.23,6.475,5.755,6,2.3,1
,yes,high,80.2,61.4,18.8,11.865,7.055,4.805,5.5,2.35,1